,HW_1b,HW_2b,HW_4b,HW_5b,HW_6b,HW_9b,HW_11b,HW_13b,HW_16b,HW_17b,HW_18b,HW_20b,HW_21b,HW_23b,HW_27b,HW_29b,HW_34b,HW_35b,HW_39b,HW_41b,HW_43b,HW_45b,HW_46b,HW_47b,HW_49b,HW_50b
20/07/2014,901,16090,1408,102430,93151,78296,429,10106,4458,67464,387,92107,44359,133,,8375,1771,54,3318,171614,283,530,704,77,1750,234
21/07/2014,1643,19119,3453,140404,122357,96616,611,14385,5578,80072,537,48111,61410,193,,11446,2235,78,4422,220118,357,710,1007,97,2468,321
22/07/2014,645,15128,1504,136912,107854,96290,606,14091,1536,69337,483,3856,23205,186,7,11000,1578,64,4408,183722,333,670,998,91,2271,315
23/07/2014,485,12489,6437,137102,96832,91364,603,13838,1486,68424,459,372,5042,186,139,10326,1352,69,3776,162940,332,642,653,90,2199,305
24/07/2014,483,11462,8848,137522,85616,82987,609,13920,568,64588,457,326,1061,185,133,9804,1115,63,2923,151799,329,619,945,90,2143,304
25/07/2014,341,10334,3938,122308,76237,46830,597,13615,359,59694,426,1735,15704,182,129,9273,1160,76,3533,137923,322,596,906,88,1848,299
26/07/2014,293,9677,4183,70246,69838,34037,584,13582,420,51992,406,615,15468,178,126,9010,1538,72,4001,120551,316,575,907,87,1889,294
27/07/2014,181,9128,15985,65948,65162,33786,579,13520,371,48100,418,531,11889,179,123,9034,2310,68,3875,102826,312,540,935,86,2053,294
28/07/2014,75,8256,14625,64281,60977,29593,589,13368,349,43028,381,594,14968,184,122,9062,3225,74,3417,92663,314,508,937,85,2152,294
29/07/2014,100,7616,14009,70130,58045,13769,593,13368,246,39545,336,2493,23901,178,122,9040,3591,70,3014,82408,311,501,894,86,2079,294
30/07/2014,144,7463,16825,62145,55144,7473,587,13273,133,34655,323,2689,24930,179,122,8954,5015,75,3038,78631,302,501,888,83,1928,293
31/07/2014,92,7006,17504,58391,55157,6550,604,13688,135,32062,305,10959,38271,183,123,9187,4700,90,2461,73855,299,508,877,83,2361,295
1/08/2014,67,6759,15381,59321,58331,8903,593,13514,680,29055,281,13899,41429,172,123,9154,5380,71,2344,74736,300,506,892,83,1503,291
2/08/2014,294,7150,16140,65628,61776,25866,533,13465,629,24345,306,761,15200,168,119,8841,8883,91,3245,53430,291,498,878,80,1379,284
3/08/2014,64,7003,19126,90331,71991,54753,526,14202,430,19834,363,39495,50279,172,121,8914,9350,88,3794,41016,288,483,900,78,1876,283
4/08/2014,233,7505,20280,82093,68720,50996,539,13446,358,18131,328,15456,43454,171,121,9066,10687,87,4113,54579,289,484,924,80,2021,284
5/08/2014,342,8368,22263,81121,63184,49900,539,13357,408,15631,331,4345,28092,172,122,9068,9817,85,3697,60538,298,490,941,81,2010,288
6/08/2014,349,8711,22678,91385,58739,45469,548,13217,410,14472,319,659,9458,176,121,9033,7518,86,3707,62646,305,511,943,83,2128,290
7/08/2014,401,8773,21721,91717,55404,40848,550,13159,468,15173,292,470,7297,173,121,8870,6994,73,3450,65009,305,532,941,84,2032,291
8/08/2014,404,8369,21692,78883,52250,38960,541,13059,617,13534,272,417,2439,172,120,8840,6859,85,3435,65642,303,540,940,83,2043,289
9/08/2014,378,7976,20752,74297,49954,35402,552,12982,606,11090,259,413,2034,172,120,8815,6941,70,3132,66857,300,541,930,83,2138,286
10/08/2014,258,7535,20603,73612,39482,31163,572,12926,565,10998,277,438,6135,178,121,8925,6247,94,2798,69121,302,550,934,83,2147,289
11/08/2014,267,7291,20576,73850,33633,18240,543,12977,452,10211,232,399,2373,169,119,8840,6339,83,2734,67186,296,547,932,81,1764,285
12/08/2014,345,7183,21514,54787,26149,96,525,13049,402,7821,199,506,12685,173,117,8611,7753,76,2573,61203,291,539,915,80,1805,282
13/08/2014,289,6840,20758,45186,25600,729,517,12795,432,6570,217,490,8720,170,115,8428,7700,69,2375,53186,288,529,908,79,1827,281
14/08/2014,218,6388,17803,44037,24416,2170,520,12691,443,5581,240,443,6547,172,115,8433,8042,74,2470,45560,288,518,901,79,1905,280
15/08/2014,56,6237,19085,47690,22838,444,545,12774,446,4859,221,471,12553,179,117,8616,7571,79,2213,43601,289,512,901,79,2172,282
16/08/2014,164,6174,18045,42123,20464,829,570,12934,486,4854,212,578,18285,177,119,8951,7196,71,1836,45369,291,509,909,80,2220,283
17/08/2014,288,6043,17328,52798,16904,1356,590,12940,370,4196,218,2271,25313,180,122,9213,4546,57,1538,50396,295,511,627,81,2170,289
18/08/2014,311,5660,17249,39557,16282,1511,573,12757,304,4121,149,888,16567,170,123,9206,1920,77,1851,51236,296,505,910,82,1705,285
19/08/2014,211,5364,19221,31274,19610,6852,532,12633,254,3907,97,353,1398,168,119,8717,1569,74,2332,43422,294,492,889,81,1617,281
20/08/2014,31,5085,19943,31703,20771,4780,508,12445,211,3289,100,338,298,166,114,8334,1743,73,2591,32633,289,483,882,80,1693,279
